name,pronunciation,meaning,type,length,weight,diet,teeth,food,how_moved,when_it_lived,found_it,taxonomy,foundators,year,species_type,comments,img_url
Alectrosaurus,ah-LEK-tro-sore-us,'eagle lizard',large theropod,5.0m,,carnivorous,,,,"Late Cretaceous, 90-70 million years ago","China,
						
							Mongolia","Dinosauria, Saurischia, Theropoda, Tyrannosauroidea",Gilmore ,(1933) ,olseni,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alectro.jpg
Alioramus,al-ee-oh-ray-mus,'other [evolutionary] branch',large theropod,6.0m,,carnivorous,,,,"Late Cretaceous, 71-66 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Tyrannosauroidea",Kurzanov ,(1976) ,remotus,  The skull of this dinosaur shows small bumps near the nose.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Alioramus.jpg
Allosaurus,AL-oh-saw-russ,'other lizard',large theropod,12.0m,2000kg,carnivorous,dagger-like with serrated edges,"Stegosaurus, Diplodocus and others",on 2 legs,"Late Jurassic, 152-145 million years ago","Portugal,
						
							USA","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Carnosauria, Allosauroidea, Allosauridae",Marsh ,(1877) ,fragilis,  The teeth of Allosaurus  were 5-10cm long and curved backwards to prevent prey from escaping.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/allo.jpg
Alvarezsaurus,al-var-rez-SORE-us,'Alvarez's lizard',small theropod,2.0m,,carnivorous,,,,"Late Cretaceous, 89-85 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Alvarezsauridae",Bonaparte ,(1991) ,calvoi,  Alvarezsaurus may have been feathered.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/alvarez.jpg
Amargasaurus,A-MARG-oh-sore-us,'Amarga lizard',sauropod,12.0m,9000kg,herbivorous,teeth for grinding and chewing,tough plants,,"Early Cretaceous, 132-127 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Dicraeosauridae",Salgado and Bonaparte ,(1991) ,cazaui,  This dinosaur had a double row of spines along its back which may have supported a twin 'sail' of skin. The spines on its neck vertebrae were incredibly long.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Amargasaurus.jpg
Ammosaurus,ah-moh-SORE-us,'sand lizard',prosauropod,5.0m,,herbivorous,,,,"Early Jurassic, 195-180 million years ago",USA,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria, Anchisauridae",Marsh ,(1891) ,major,  This dinosaur was very similar to Anchisaurus.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ammo.jpg
Ampelosaurus,am-pel-oh-sore-us,'vineyard lizard',sauropod,15.0m,,herbivorous,,,,"Late Cretaceous, 71-66 million years ago",France,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",Le Loeuff ,(1995) ,atacis,"  Ampelosaurus is known from fossil teeth, postcranial bones and osteoderms ('armour plating').",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Ampelosaurus.jpg
Amygdalodon,am-ig-dal-oh-don,'almond tooth',sauropod,15.0m,,herbivorous,,,,"Mid Jurassic, 177-169 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda",Cabrera ,(1947) ,patagonicus,  Amygdalodon is known from a single partial skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Amygdalodon.jpg
Anchiceratops,an-key-SERRA-tops,'near horned lizard',ceratopsian,6.0m,,herbivorous,,,,"Late Cretaceous, 74-70 million years ago",Canada,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae",Brown ,(1914) ,ornatus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anchi2.jpg
Anchisaurus,ANK-ee-sore-us,'near lizard',prosauropod,2.0m,,herbivorous,,,,"Early Jurassic, 190 million years ago",USA,"Dinosauria, Saurischia, Sauropodomorpha, Prosauropoda, Anchisauria, Anchisauridae",Marsh ,(1885) ,polyzelous,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anchi.jpg
Ankylosaurus,An-KYE-low-sore-us,'fused lizard',armoured dinosaur,8.0m,8000kg,herbivorous,grinding teeth with a beak at the front,"plant material, including ferns, shrubs and fruit",on 4 legs,"Late Cretaceous, 68-66 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Thyreophora, Ankylosauria, Ankylosauridae",Brown ,(1908) ,magniventris, Ankylosaurus Ankylosaurus lived during the Late Cretaceous Period in what is now North America. This armoured dinosaur had bony plates covering its body and a heavy club at the end of its tail. Ankylosaurus Though it's the most famous member of the ankylo,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/ankylosaurus.jpg
Anserimimus,ANN-ser-ih-mee-muss,'goose mimic',large theropod,3.5m,,carnivorous,,,,"Late Cretaceous, 84-66 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Ornithomimosauria, Ornithomimidae",Barsbold ,(1988) ,planinychus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/anseri.jpg
Antarctosaurus,Ant-ARK-toe-sore-us,'non-northern lizard',sauropod,18.0m,,herbivorous,,,,"Late Cretaceous, 84 million years ago","Argentina,
						
							Chile,
						
							Uruguay","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria, Lithostrotia",von Huene ,(1929) ,wichmannianus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/antarcto.jpg
Apatosaurus,ah-PAT-oh-sore-us,'deceptive lizard',sauropod,21.0m,,herbivorous,,,,"Late Jurassic, 152-145 million years ago",USA,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Diplodocidae",Marsh ,(1877) ,ajax,"  Apatosaurus was a large sauropod dinosaur. It lived around 150 million years ago in the Late Jurassic Period, in an area that is now North America.  Like all sauropods, Apatosaurus ate plants.  Young Apatosaurus individuals grew up quickly. They took aro",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/apatosaurus-art.jpg
Aragosaurus,ahr-ah-go-sore-us,'AragÃÂ³n lizard',sauropod,18.0m,,herbivorous,,,,"Early Cretaceous, 132-121 million years ago",Spain,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda","Sanz, Buscalioni, Casanovas and SanafÃÂ© ",(1987) ,ischiadicus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Aragosaurus.jpg
Aralosaurus,ar-al-oh-sore-us,'Aral lizard',large ornithopod,8.0m,,herbivorous,,,,"Late Cretaceous, 94-84 million years ago",Kazakhstan,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae",Rozhdestvensky ,(1968) ,tuberiferus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Aralosaurus.jpg
Archaeoceratops,ahr-kee-oh-serra-tops,'ancient horned face',ceratopsian,1.3m,,herbivorous,,,,"Early Cretaceous, 121-99 million years ago",China,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia",Dong and Azuma ,(1987) ,oshimai,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Archaeoceratops.jpg
Archaeopteryx,ark-ee-OPT-er-ix,'ancient wing',small theropod,0.5m,,carnivorous,"many small, cone-shaped teeth","may have eaten small reptiles, mammals or insects",on 2 legs and by flying,"Late Jurassic, 149-145 million years ago",Germany,"Dinosauria, Saurischia, Theropoda, Paraves, Archaeopterygidae",Mayer ,(1861) ,lithographica,"  Archaeopteryx was a small, bird-like dinosaur. It lived during the Late Jurassic Period in what is now Europe.  The discovery of the first Archaeopteryx fossil in Germany in 1861 caused a lot of confusion. No birds were known from so far back. Some peopl",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/archaeopteryx.jpg
Archaeornitho-mimus,Ark-ee-orn-ith-oh-meem-us,'ancient bird mimic',small theropod,3.5m,,carnivorous,,,,"Late Cretaceous, 95-70 million years ago","China,
						
							Uzbekistan","Dinosauria, Saurischia, Theropoda, Ornithomimosauria, Ornithomimidae",Russell ,(1972) ,asiaticus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/archaeorn.jpg
Argentinosaurus,AR-gent-eeno-sore-us,'Argentina lizard',sauropod,35.0m,70000kg,herbivorous,for stripping vegetation from branches,tough plant material,on four legs,"Late Cretaceous, 90 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Bonaparte and Coria ,(1993) ,huinculensis,  The exact size of Argentinosaurus is hard to estimate due to the incompleteness of its fossilised remains. But it is one of the largest land animals ever found. It carried on growing throughout most of its lifetime. Other similarly massive dinosaurs incl,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/argent.jpg
Arrhinoceratops,ay-rine-oh-ker-ah-tops,'without-nose-horn face',ceratopsian,6.0m,,herbivorous,,,,"Late Cretaceous, 72-67 million years ago",Canada,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Chasmosaurinae",Parks ,(1925) ,brachyops,  The only undisputed specimen of Arrhinoceratops is a skull.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Arrhinoceratops.jpg
Atlascopco-saurus,Atlass-KOP-KO-sore-us,'Atlas Copco lizard',small ornithopod,3.0m,,herbivorous,,,,"Early Cretaceous, 121-97 million years ago",Australia,"Dinosauria, Ornithischia, Ornithopoda, Euornithopoda",Rich and Rich ,(1989) ,loadsi,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Atlascopcosaurus.jpg
Aucasaurus,aw-ka-sore-us,'Auca lizard',large theropod,5.0m,,carnivorous,,,,"Late Cretaceous, 84-71 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Neoceratosauria, Abelisauroidea, Abelisauria","Coria, Chiappe and Dingus ",(2002) ,garridoi,  Aucasaurus is known from an almost complete skeleton.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Aucasaurus.jpg
Austrosaurus,aws-troh-sore-us,'south lizard',sauropod,15.0m,,herbivorous,,,,"Early Cretaceous, 112-99 million years ago",Australia,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Titanosauria",Longman ,(1933) ,mckillopi,  Dorsal vertebrae (part of the backbone) and limb remains of Austrosaurus have been found.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Austrosaurus.jpg
Avaceratops,ay-va-ker-ah-tops,'Ava's horned face',ceratopsian,2.3m,,herbivorous,,,,"Late Cretaceous, 80-75 million years ago",USA,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Coronosauria, Ceratopsidae, Centrosaurinae",Dodson ,(1986) ,lammersi,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Avaceratops.jpg
Avimimus,ah-vee-MEEM-us,'bird mimic',small theropod,1.5m,,omnivorous,,,,"Late Cretaceous, 80-75 million years ago","China,
						
							Mongolia","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Oviraptorosauria, Avimimidae",Kurzanov ,(1981) ,portentosus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/avim.jpg
Bactrosaurus,bak-troh-sore-us,'club [spined] lizard',large ornithopod,6.0m,,herbivorous,,,,"Late Cretaceous, 84-71 million years ago",China,"Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae",Gilmore ,(1933) ,johnsoni,"  Skull fragments and postcranial bones of at least 12 Bactrosaurus individuals, juvenile to adult, have been found.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Bactrosaurus.jpg
Bagaceratops,Bag-a-ser-a-tops,'small-horned face',ceratopsian,1.0m,,herbivorous,,,,"Late Cretaceous, 85-80 million years ago",Mongolia,"Dinosauria, Ornithischia, Neornithischia, Cerapoda, Marginocephalia, Ceratopsia, Neoceratopsia, Bagaceratopsidae",Maryanska and Osmolska ,(1975) ,rozhdestvenskyi,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Bagaceratops.jpg
Bambiraptor,bam-bee-rap-tor,'Bambi plunderer',small theropod,1.0m,,carnivorous,,,,"Late Cretaceous, 84-71 million years ago",USA,"Dinosauria, Saurischia, Theropoda, Dromaeosauridae","Burnham, Derstler, Currie, Bakker, Zhou and Ostrom ",(2000) ,feinbergorum,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Bambiraptor.jpg
Barapasaurus,Bar-rap-oh-SORE-us,'big leg lizard',sauropod,14.0m,,herbivorous,,,,"Early Jurassic, 185-170 million years ago",India,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Cetiosauridae","Jain, Kutty, Roy-Chowdhury and Chatterjee ",(1975) ,tagorei,  Barapasaurus was a primitive but very large sauropod.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/barapa.jpg
Barosaurus,BAR-oh-sore-us,'heavy lizard',sauropod,24.0m,,herbivorous,,,,"Late Jurassic, 155-145 million years ago","Tanzania,
						
							USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Diplodocidae",Marsh ,(1890) ,lentus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/baro.jpg
Baryonyx,bah-ree-ON-icks,'heavy claw',large theropod,10.0m,2000kg,carnivorous,"sharp, finely serrated teeth","fish, Iguanodon",on 2 legs,"Early Cretaceous, 125 million years ago","England,
						
							Spain,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Spinosauridae, Baryonychinae",Charig and Milner ,(1987) ,walkeri,"  The mouth shape of this dinosaur was very similar to that of a crocodile, and it had a large claw, about 31cm long, probably on its thumb. Baryonyx may have crouched on river banks or waded into shallow water to hook fish with its claws. It was also a sc",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/bary.jpg
Becklespinax,beck-el-spien-aks,'Beckles' spinax',large theropod,5.0m,,carnivorous,,,,"Early Cretaceous, 142-132 million years ago","England,
						
							United Kingdom","Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae",Paul ,(1988) ,altispinax,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Becklespinax.jpg
Beipiaosaurus,bay-pyow-sore-us,'Beipiao lizard',small theropod,2.0m,,omnivorous,,,,"Early Cretaceous, 127-121 million years ago",China,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Tetanurae, Avetheropoda, Coelurosauria, Tyrannoraptora, Maniraptoriformes, Maniraptora, Therizinosauroidea","Xu, Tang and Wang ",(1999) ,inexpectus,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Beipiaosaurus.jpg
Bellusaurus,bel-uh-sore-us,'fine lizard',sauropod,5.0m,,herbivorous,,,,"Mid Jurassic, 180-159 million years ago",China,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria",Dong and Azuma ,(1990) ,sui,"  Bellusaurus is known from 17 partial skeletons, including from young dinosaurs.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Bellusaurus.jpg
Borogovia,bor-o-goh-vee-a,'borogove',small theropod,1.5m,,carnivorous,,,,"Late Cretaceous, 84-66 million years ago",Mongolia,"Dinosauria, Saurischia, Theropoda, Paraves, Eumaniraptoria, Troodontidae",OsmÃÂ³lska ,(1987) ,gracilicrus,"  Only partial hindlimbs of this dinosaur have been found, so reconstructions are speculative. It was named after Lewis Carroll's borogoves from the poem Jabberwocky, published in 1871.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Borogovia.jpg
Brachiosaurus,BRAK-ee-oh-sore-us,'arm lizard',sauropod,30.0m,,herbivorous,,,,"Late Jurassic, 155-140 million years ago","Algeria,
						
							Portugal,
						
							Tanzania,
						
							USA","Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Titanosauriformes, Brachiosauridae",Riggs ,(1903) ,altithorax,  Brachiosaurus held its head very high. It is likely to have eaten the leaves on tall tree-like plants.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/brach.jpg
Brachylopho-saurus,brak-i-lof-oh-sore-us,'short-crested lizard',large ornithopod,7.0m,,herbivorous,,,,"Late Cretaceous, 89-88 million years ago","Canada,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Hadrosauridae, Euhadrosauria, Hadrosaurinae",C. M. Sternberg ,(1953) ,canadensis,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Brachylophosaurus.jpg
Brachytrachelo-pan,brak-i-trak-eh-loh-pan,'short-necked Pan [shepherd god]',sauropod,10.0m,,herbivorous,,,,"Mid Jurassic, 150 million years ago",Argentina,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Diplodocoidea, Dicraeosauridae","Rauhut, Remes, Fechner, Cladera and Puerta ",(2005) ,mesai,"  Brachytrachelopan is known from partial neck and dorsal vertebrae (part of the backbone), ribs, a partial pelvis and limb bones. This dinosaur had, proportionately, the shortest neck of any known sauropod.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Brachytrachelopan.jpg
Buitreraptor,bwee-tree-rap-tor,'Buitrera ('vulture roost') plunderer',small theropod,1.3m,,carnivorous,,,,"Late Cretaceous, 99-90 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Dromaeosauridae, Unenlagiinae","Makovicky, ApesteguÃÂ­a & Agnolin ",(2005) ,gonzalezorum,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/Buitreraptor.jpg
Camarasaurus,KAM-ar-a-sore-us,'chambered lizard',sauropod,23.0m,20000kg,herbivorous,"chisel-like, sharp, snipping teeth",tough plant material,on 4 legs,"Late Jurassic, 150-140 million years ago",USA,"Dinosauria, Saurischia, Sauropodomorpha, Sauropoda, Eusauropoda, Neosauropoda, Macronaria, Camarasauromorpha, Camarasauridae",Cope ,(1877) ,supremus,  Camarasaurus used rows of close-set teeth to strip the leaves from trees and shrubs. Food was ground by stones in the stomach.,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/camara.jpg
Camptosaurus,KAMP-toe-sore-us,'bent lizard',large ornithopod,5.0m,1000kg,herbivorous,beak and grinding teeth,plants,on 2 or 4 legs,"Late Jurassic, 155-145 million years ago","England,
						
							United Kingdom,
						
							USA","Dinosauria, Ornithischia, Ornithopoda, Euornithopoda, Iguanadontia, Euiguanadontia, Dryomorpha, Ankylopollexia",Marsh ,(1885) ,dispar,,https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/campto.jpg
Carcharodonto-saurus,kar-KAR-o-don-toe-sore-us,'Carcharodon lizard',large theropod,12.5m,,carnivorous,,,,"Late Cretaceous, 99-94 million years ago","Algeria,
						
							Egypt,
						
							Morocco,
						
							North Africa","Dinosauria, Saurischia, Theropoda, Carcharodontosauridae",Stromer ,(1931) ,saharicus,"  Carcharodontosaurus was a very large meat-eating dinosaur.  It is named after Carcharodon, the scientific name for several types of shark - of which the great white shark is the only living example.  Carcharodontosaurus teeth look a lot like shark teeth.",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/carcharodontosaurus.jpg
Carnotaurus,Kar-noh-TORE-us,'carnivorous bull',large theropod,8.0m,,carnivorous,,,,"Late Cretaceous, 69-71 million years ago",Argentina,"Dinosauria, Saurischia, Theropoda, Neotheropoda, Ceratosauria, Abelisauridae",Bonaparte ,(1985) ,sastrei,"  Carnotaurus was a meat-eating dinosaur with two horns on the top of its head and very small arms.  It had an unusually short snout and its head was very narrow when viewed from the front.  Scientists have found lots of skin impressions for this dinosaur,",https://www.nhm.ac.uk/resources/nature-online/life/dinosaurs/dinosaur-directory/images/reconstruction/small/carnotaurus.jpg
